date_filed,decision_date,filing_year,filing_month,filing_month_name,disposal_year,case_type,case_type_label,court_number,court_name,disposal_days,disposal_years,speed_tier,speed_tier_order,outcome_bucket,nature_of_disposal_binary,case_status
2015-02-19,2016-12-15,2015,2,Feb,2016,MFA,Motor Accident Appeal (MFA),1048,Principal Bench at Bengaluru,665,1.8,Medium (1–2 years),2,Data Not Available,,Disposed
2015-09-01,2019-03-14,2015,9,Sep,2019,MFA,Motor Accident Appeal (MFA),1411,Principal Bench at Bengaluru,1290,3.5,Very Slow (3+ years),4,Data Not Available,,Disposed
2015-09-01,2019-03-14,2015,9,Sep,2019,MFA,Motor Accident Appeal (MFA),1411,Principal Bench at Bengaluru,1290,3.5,Very Slow (3+ years),4,Data Not Available,,Disposed
2015-09-01,2019-03-14,2015,9,Sep,2019,MFA,Motor Accident Appeal (MFA),1411,Principal Bench at Bengaluru,1290,3.5,Very Slow (3+ years),4,Data Not Available,,Disposed
2015-01-23,2017-02-20,2015,1,Jan,2017,MFA,Motor Accident Appeal (MFA),1175,Principal Bench at Bengaluru,759,2.1,Slow (2–3 years),3,Data Not Available,,Disposed
2015-01-13,2016-09-15,2015,1,Jan,2016,MFA,Motor Accident Appeal (MFA),1049,Principal Bench at Bengaluru,611,1.7,Medium (1–2 years),2,Data Not Available,,Disposed
2015-12-31,2016-07-14,2015,12,Dec,2016,MFA,Motor Accident Appeal (MFA),669,Principal Bench at Bengaluru,196,0.5,Fast (under 1 year),1,Data Not Available,,Disposed
2015-12-29,2016-01-11,2015,12,Dec,2016,MFA,Motor Accident Appeal (MFA),302,Principal Bench at Bengaluru,13,0.0,Fast (under 1 year),1,Data Not Available,,Disposed
2015-12-29,2015-12-30,2015,12,Dec,2015,MFA,Motor Accident Appeal (MFA),1072,Principal Bench at Bengaluru,1,0.0,Fast (under 1 year),1,Data Not Available,,Disposed
2015-12-29,2017-01-01,2015,12,Dec,2017,MFA,Motor Accident Appeal (MFA),1174,Principal Bench at Bengaluru,369,1.0,Medium (1–2 years),2,Data Not Available,,Disposed
2015-12-23,2016-07-24,2015,12,Dec,2016,MFA,Motor Accident Appeal (MFA),596,Principal Bench at Bengaluru,214,0.6,Fast (under 1 year),1,Data Not Available,,Disposed
2015-12-21,2015-12-30,2015,12,Dec,2015,MFA,Motor Accident Appeal (MFA),1072,Principal Bench at Bengaluru,9,0.0,Fast (under 1 year),1,Data Not Available,,Disposed
2015-12-21,2016-01-18,2015,12,Dec,2016,MFA,Motor Accident Appeal (MFA),302,Principal Bench at Bengaluru,28,0.1,Fast (under 1 year),1,Data Not Available,,Disposed
